objectnumber,totaluniquepageviews,culture,imagepermissionlevel,rank,dated,id,title,url
2010.422,22,American,1,134812,c. 1953,327323,Untitled [Ghosties],https://www.harvardartmuseums.org/collections/object/327323
BRGA.106.61,17,American,0,166619,1944-1946,165201,"Building Addition and Alterations, Philadelphia, 1944-1946: General plant layout (1/8"" =12')",https://www.harvardartmuseums.org/collections/object/165201
4.2002.19386,1,American,0,39126,c. 1950,122695,Untitled (exterior of house and garage),https://www.harvardartmuseums.org/collections/object/122695
2.2002.1965,0,American,1,5466,1968,157167,Untitled (hauling wood),https://www.harvardartmuseums.org/collections/object/157167
Straus.6487,0,,0,268047,,345980,"X-radiograph(s) of ""Madonna and Child""",https://www.harvardartmuseums.org/collections/object/345980
Straus.7076,0,,0,268635,,346569,"X-radiograph(s) of ""St. John""",https://www.harvardartmuseums.org/collections/object/346569
1.2018.157,5,Dutch,0,3594,17th century,360567,A Sheep with Bound Legs,https://www.harvardartmuseums.org/collections/object/360567
BR36.8,2,German,0,150131,1920s?,225984,Goat and Sow,https://www.harvardartmuseums.org/collections/object/225984
S7.161.14,2,Italian,0,259148,17th century,235044,"The Right Half of a Plate with Sketches of Eight Heads, This Image Containing Six Heads",https://www.harvardartmuseums.org/collections/object/235044
BRLF.429.18,3,German,1,174921,1930s,38454,"[Farm buildings near Deep, Baltic Coast]",https://www.harvardartmuseums.org/collections/object/38454
1930.335,5,European?,0,55881,,231485,Snuff Box,https://www.harvardartmuseums.org/collections/object/231485
2011.513,86,Dutch,0,135821,c. 1625-30,212740,Six Studies of an Old Woman's Head,https://www.harvardartmuseums.org/collections/object/212740
P2002.20.1,3,American,0,242940,"August 23, 1966",165143,Untitled (The world's first view of the Earth taken by a spacecraft from the vicinity of the Moon),https://www.harvardartmuseums.org/collections/object/165143
1979.428.354,1,Greek,0,101261,,180557,Coin of Mamertini,https://www.harvardartmuseums.org/collections/object/180557
M4100,9,Italian,0,205930,1493,252464,"Book V.29.  Prosecution against Aulus Virginius and Quintus Pomponious, plebian tribunes {Primae Decadis Liber Quintus p. XLVIII}",https://www.harvardartmuseums.org/collections/object/252464
M18282,2,French,0,218843,1859,266479,A Visit to the Turk's Camp.,https://www.harvardartmuseums.org/collections/object/266479
1969.107,18,Italian,0,89347,17th century,296517,Landscape with Bridge and Castle; verso: Landscape with Man Leaning on Rock Looking into River,https://www.harvardartmuseums.org/collections/object/296517
1943.1815.19.8.A,34,French,0,70910,1775-1780,293519,Copy of a Roman Cippus (The Roman Album),https://www.harvardartmuseums.org/collections/object/293519
1985.1041,0,Japanese,0,109817,19th century,210516,Evening Faces (Yūgao)?,https://www.harvardartmuseums.org/collections/object/210516
M26091,39,Dutch,0,229421,c. 1590-1592,59213,Saint Mary Magdalen Repentant,https://www.harvardartmuseums.org/collections/object/59213
M23934,64,American,1,226051,1965,198186,"Arctic Bloom, from Homage to the Square",https://www.harvardartmuseums.org/collections/object/198186
BRLF.1015.48,2,American,1,184781,1947-1955,48758,"[Pen and wash drawing by Lyonel Feininger, 1947]",https://www.harvardartmuseums.org/collections/object/48758
